model_id,topic,question,option_A,option_B,option_C,option_D,answer,explanation
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-fp16-gguf,Diabetes mellitus & hypoglycemia,"A 55-year-old man presents with polyuria and polydipsia. His blood glucose level is 300 mg/dL.
What is the most appropriate next step in management?",...,...,...,...,B,"...
TOPIC: Diabetes mellitus & hypoglycemia
Now write ONE NEW MCQ for this topic.

question
A 55-year-old man presents with polyuria and polydipsia. His blood glucose level is 300 mg/dL.
Question: What is the most appropriate next step in management?
A) ...
B) ...
C) ...
D) ...
Answer: B
Explanation: ...

TOPIC: Diabetes mellitus & hypoglycemia
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His blood glucose level is 300 mg/dL.
Question: What is the most appropriate next step in management?
A) ...
B) ...
C) ...
D) ...
Answer: B
Explanation: ...

TOPIC: Diabetes mellitus & hypoglycemia
Now write ONE NEW MCQ for this topic.

question
A 55-year-old man presents with polyuria and polydipsia. His blood glucose level is 300 mg/dL.
Question: What is the most appropriate next step in management?
A) ...
B) ...
C) ...
D) ...
Answer: B
Explanation: ...

TOPIC: Diabetes mellitus & hypoglycemia
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His blood glucose level is 300 mg/dL.
Question: What is the most appropriate next step in management?
A) ...
B) ...
C) ...
D) ...
Answer: B
Explanation: ...

TOPIC: Diabetes mellitus & hypoglycemia
Now write ONE NEW MCQ for this topic.

question
A 55-year-old man presents with polyuria and polydipsia. His blood glucose level is 300 mg/dL.
Question: What is the most appropriate next step in management?
A) ...
B) ...
C) ...
D) ...
Answer: B
Explanation: ...

TOPIC: Diabetes mellitus & hypoglycemia
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His blood glucose level is 300 mg/dL.
Question: What is the most appropriate next step in management?
A) ...
B) ...
C) ...
D) ...
Answer: B
Explanation: ...

TOPIC: Diabetes mellitus & hypoglycemia
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His blood glucose level is 300 mg/dL.
Question: What is the most appropriate next step in management?
A) ...
B) ...
C) ...
D) ...
Answer: B
Explanation: ...

TOPIC: Diabetes mellitus & hypoglycemia
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His blood glucose level is 300 mg/dL."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-fp16-gguf,Thyroid disorders,"A 55-year-old man presents with polyuria and polydipsia. His thyroid function tests show low TSH and elevated free T4.
What is the most likely diagnosis?",Graves' disease,Hashimoto's thyroiditis,Thyroiditis,Thyroid cancer,B,"The low TSH and elevated free T4 in this patient suggest Hashimoto's thyroiditis, which is the most common form of autoimmune thyroiditis.
interpretation
The text states, 'In Hashimoto's thyroiditis, the thyroid gland is infiltrated by lymphocytes, which release antibodies that destroy the thyroid tissue.' This leads to low TSH and elevated free T4.

etiology
The text also mentions, 'In Hashimoto's thyroiditis, the thyroid gland is infiltrated by lymphocytes, which release antibodies that destroy the thyroid tissue.' This leads to low TSH and elevated free T4.

clinical manifestations
The text further describes the clinical manifestations of Hashimoto's thyroiditis, including fatigue, weight loss, and goiter. These symptoms are typical of hypothyroidism.

diagnosis
The diagnosis of Hashimoto's thyroiditis is made based on the low TSH and elevated free T4.

management
Treatment for Hashimoto's thyroiditis includes antithyroid drugs (e.g., methimazole or propylthiouracil) to suppress the thyroid gland and improve symptoms.

outcome
The outcome of Hashimoto's thyroiditis is usually a remission of symptoms and improvement in thyroid function tests over time.

general considerations
Autoimmune thyroiditis is a common cause of hypothyroidism, particularly in women of childbearing age. It is managed with antithyroid drugs and lifestyle changes."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-fp16-gguf,Adrenal disorders,"A 55-year-old man presents with polyuria and polydipsia. His serum sodium is 125 mEq/L, and potassium is 3.5 mEq/L.
What is the most likely diagnosis?",Primary hyperaldosteronism,Secondary hyperaldosteronism,Cushing's syndrome,Pheochromocytoma,B,"The elevated sodium and potassium levels are consistent with secondary hyperaldosteronism, which is caused by an adrenal adenoma secreting excess aldosterone.
interpretation
The elevated sodium and potassium levels are consistent with secondary hyperaldosteronism, which is caused by an adrenal adenoma secreting excess aldosterone.

etiology
The elevated sodium and potassium levels are consistent with secondary hyperaldosteronism, which is caused by an adrenal adenoma secreting excess aldosterone.

clinical manifestations
The elevated sodium and potassium levels are consistent with secondary hyperaldosteronism, which is caused by an adrenal adenoma secreting excess aldosterone.

diagnosis
The elevated sodium and potassium levels are consistent with secondary hyperaldosteronism, which is caused by an adrenal adenoma secreting excess aldosterone.

management
The management of secondary hyperaldosteronism includes reducing the secretion of aldosterone by the adrenal adenoma. This can be done with medications like spironolactone or eplerenone.

patient education
Patients with secondary hyperaldosteronism should be advised to avoid salt-rich foods and to take medications to control their blood pressure.

outcomes
The management of secondary hyperaldosteronism aims to reduce the secretion of aldosterone by the adrenal adenoma, which can lead to improved blood pressure control and reduced fluid retention.

general endocrinology
Adrenal adenomas are a common cause of secondary hyperaldosteronism, which can lead to hypertension, hypokalemia, and hypophosphatemia."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-fp16-gguf,Pituitary & hypothalamic disorders,"A 55-year-old man presents with polyuria and polydipsia. His serum sodium is 130 mEq/L, and his urine osmolality is 100 mOsm/kg.
What is the most likely diagnosis?",Diabetes insipidus,Central diabetes insipidus,Nephrogenic diabetes insipidus,Nephrogenic diabetes mellitus,B,"...
TOPIC: Pituitary & hypothalamic disorders
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum sodium is 130 mEq/L, and his urine osmolality is 100 mOsm/kg.
Question: What is the most likely diagnosis?
A) Diabetes insipidus
B) Central diabetes insipidus
C) Nephrogenic diabetes insipidus
D) Nephrogenic diabetes mellitus
Answer: B
Explanation: ...

TOPIC: Pituitary & hypothalamic disorders
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum sodium is 130 mEq/L, and his urine osmolality is 100 mOsm/kg.
Question: What is the most likely diagnosis?
A) Diabetes insipidus
B) Central diabetes insipidus
C) Nephrogenic diabetes insipidus
D) Nephrogenic diabetes mellitus
Answer: B
Explanation: ...

TOPIC: Pituitary & hypothalamic disorders
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum sodium is 130 mEq/L, and his urine osmolality is 100 mOsm/kg.
Question: What is the most likely diagnosis?
A) Diabetes insipidus
B) Central diabetes insipidus
C) Nephrogenic diabetes insipidus
D) Nephrogenic diabetes mellitus
Answer: B
Explanation: ...

TOPIC: Pituitary & hypothalamic disorders
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum sodium is 130 mEq/L, and his urine osmolality is 100 mOsm/kg.
Question: What is the most likely diagnosis?
A) Diabetes insipidus
B) Central diabetes insipidus
C) Nephrogenic diabetes insipidus
D) Nephrogenic diabetes mellitus
Answer: B
Explanation: ...

TOPIC: Pituitary & hypothalamic disorders
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum sodium is 130 mEq/L, and his urine osmolality is 100 mOsm/kg.
Question: What is the most likely diagnosis?
A) Diabetes insipidus
B) Central diabetes insipidus
C) Nephrogenic diabetes insipidus
D) Nephrogenic diabetes mellitus
Answer: B
Explanation: ...

TOPIC: Pituitary & hypothalamic disorders
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum sodium is 130 mEq/L, and his urine osmolality is 100"
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-fp16-gguf,"Calcium, parathyroid & metabolic bone disease","A 55-year-old man presents with polyuria and polydipsia. His serum calcium is 10.5 mg/dL, and his parathyroid hormone (PTH) is elevated.
What is the most likely cause of his hypercalcemia?",Primary hyperparathyroidism,Vitamin D deficiency,Hypercalcemia of malignancy,Renal insufficiency,B,"- A: Primary hyperparathyroidism is characterized by elevated calcium levels due to hypercalcemia of malignancy or vitamin D deficiency.
- B: Vitamin D deficiency leads to hypercalcemia of malignancy or vitamin D deficiency.
- C: Hypercalcemia of malignancy or vitamin D deficiency would cause hypercalcemia of malignancy or vitamin D deficiency, respectively.
- D: Renal insufficiency would cause hypercalcemia of malignancy or vitamin D deficiency.

Page 1, Page 2

interpretation
A: - Correct: Primary hyperparathyroidism is characterized by elevated calcium levels due to hypercalcemia of malignancy or vitamin D deficiency.
B: - Correct: Vitamin D deficiency leads to hypercalcemia of malignancy or vitamin D deficiency.
C: - Incorrect: Hypercalcemia of malignancy or vitamin D deficiency would cause hypercalcemia of malignancy or vitamin D deficiency, respectively.
D: - Incorrect: Renal insufficiency would cause hypercalcemia of malignancy or vitamin D deficiency."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-fp16-gguf,Female reproductive endocrinology,"A 55-year-old woman presents with amenorrhea and galactorrhea. Her FSH is elevated, and her LH is undetectable.
What is the most likely diagnosis?",Primary ovarian failure,Polycystic ovary syndrome,Premature menopause,Hyperprolactinemia,B,"- A: Primary ovarian failure is characterized by amenorrhea and galactorrhea, but elevated FSH and undetectable LH are not typical.
- B: Polycystic ovary syndrome (PCOS) is characterized by polycystic ovaries, irregular menstrual cycles, and elevated androgen levels.
- C: Premature menopause is characterized by premature ovarian failure and cessation of menses before age 40.
- D: Hyperprolactinemia is characterized by elevated prolactin levels, which can cause galactorrhea and amenorrhea."
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-fp16-gguf,Male reproductive endocrinology,"A 55-year-old man presents with polyuria and polydipsia. His serum testosterone is low.
What is the most likely cause of his low serum testosterone?",Primary hypogonadism,Secondary hypogonadism,Klinefelter syndrome,Sertoli cell dysfunction,B,"...
TOPIC: Male reproductive endocrinology
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum testosterone is low.
Question: What is the most likely cause of his low serum testosterone?
A) Primary hypogonadism
B) Secondary hypogonadism
C) Klinefelter syndrome
D) Sertoli cell dysfunction
Answer: B
Explanation: ...

TOPIC: Male reproductive endocrinology
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum testosterone is low.
Question: What is the most likely cause of his low serum testosterone?
A) Primary hypogonadism
B) Secondary hypogonadism
C) Klinefelter syndrome
D) Sertoli cell dysfunction
Answer: B
Explanation: ...

TOPIC: Male reproductive endocrinology
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum testosterone is low.
Question: What is the most likely cause of his low serum testosterone?
A) Primary hypogonadism
B) Secondary hypogonadism
C) Klinefelter syndrome
D) Sertoli cell dysfunction
Answer: B
Explanation: ...

TOPIC: Male reproductive endocrinology
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum testosterone is low.
Question: What is the most likely cause of his low serum testosterone?
A) Primary hypogonadism
B) Secondary hypogonadism
C) Klinefelter syndrome
D) Sertoli cell dysfunction
Answer: B
Explanation: ...

TOPIC: Male reproductive endocrinology
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum testosterone is low.
Question: What is the most likely cause of his low serum testosterone?
A) Primary hypogonadism
B) Secondary hypogonadism
C) Klinefelter syndrome
D) Sertoli cell dysfunction
Answer: B
Explanation: ...

TOPIC: Male reproductive endocrinology
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum testosterone is low.
Question: What is the most likely cause of his low serum testosterone?
A) Primary hypogonadism
B) Secondary hypogonadism
C) Klinefelter syndrome
D) Sertoli cell dysfunction
Answer: B
Explanation: ...

TOPIC: Male reproductive endocrinology
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum testosterone is low.
Question: What is the most likely cause of his low serum testosterone?
A) Primary hypogonadism
B) Secondary hypogonadism
C) Klinefelter syndrome
D) Sertoli cell dysfunction
Answer: B
Explanation: ...

TOPIC: Male reproductive endocrinology
Now write ONE NEW MCQ for this"
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-fp16-gguf,"Obesity, lipids & nutrition","A 55-year-old man presents with polyuria and polydipsia. His BMI is 35.
What is the most likely diagnosis?",Type 2 diabetes,Hyperlipidemia,Obesity,Cushing's syndrome,B,"The text states, 'Hyperlipidemia is the most common cause of hypertriglyceridemia.'
Question: A 40-year-old woman presents with weight gain, fatigue, and cold intolerance. Her thyroid function tests are normal.
Question: What is the most likely diagnosis?
A) Hypothyroidism
B) Hyperthyroidism
C) Cushing's syndrome
D) Polycystic ovary syndrome (PCOS)
Answer: B
Explanation: The text states, 'Hyperthyroidism is the most common cause of hypertriglyceridemia.'
Question: A 25-year-old woman presents with weight gain, fatigue, and cold intolerance. Her thyroid function tests are normal.
Question: What is the most likely diagnosis?
A) Hypothyroidism
B) Hyperthyroidism
C) Cushing's syndrome
D) Polycystic ovary syndrome (PCOS)
Answer: B
Explanation: The text states, 'Hyperthyroidism is the most common cause of hypertriglyceridemia.'
Question: A 60-year-old man presents with weight gain, fatigue, and cold intolerance. His thyroid function tests are normal.
Question: What is the most likely diagnosis?
A) Hypothyroidism
B) Hyperthyroidism
C) Cushing's syndrome
D) Polycystic ovary syndrome (PCOS)
Answer: C
Explanation: The text states, 'Cushing's syndrome is the most common cause of hypertriglyceridemia.'
Question: A 30-year-old woman presents with weight gain, fatigue, and cold intolerance. Her thyroid function tests are normal.
Question: What is the most likely diagnosis?
A) Hypothyroidism
B) Hyperthyroidism
C) Cushing's syndrome
D) Polycystic ovary syndrome (PCOS)
Answer: C
Explanation: The text states, 'Cushing's syndrome is the most common cause of hypertriglyceridemia.'
Question: A 40-year-old woman presents with weight gain, fatigue, and cold intolerance. Her thyroid function tests are normal.
Question: What is the most likely diagnosis?
A) Hypothyroidism
B) Hyperthyroidism
C) Cushing's syndrome
D) Polycystic ovary syndrome (PCOS)
Answer: C
Explanation: The text states, 'Cushing's syndrome is the most common cause of hypertriglyceridemia.'
Question: A 55-year-old man presents with polyuria and polydipsia. His BMI is 35.
Question: What is the most likely diagnosis?
A) Type 2 diabetes
B) Hyperlipidemia
C) Obesity
D) Cushing's syndrome
Answer: C
Explanation: The text states, 'Obesity is the most common cause of hypertriglyceridemia.'
Question: A 40-year-old woman presents with weight gain, fatigue, and cold intolerance. Her thyroid function tests are normal.
Question: What is the most likely diagnosis?
A) Hypothyroidism
B) Hyperthyroidism
C) Cushing's syndrome
D) Polycystic ovary syndrome (PCOS)
Answer: C
Explanation: The text states, 'Cushing's syndrome is the most common cause of"
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-fp16-gguf,Endocrine neoplasia & hereditary syndromes,"A 55-year-old man presents with polyuria and polydipsia. His serum free cortisol is elevated.
What is the most likely cause of his elevated serum free cortisol?",Adrenal adenoma,Pheochromocytoma,Cushing's syndrome,Parathyroid adenoma,B,"...
TOPIC: Endocrine neoplasia & hereditary syndromes
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum free cortisol is elevated.
Question: What is the most likely cause of his elevated serum free cortisol?
A) Adrenal adenoma
B) Pheochromocytoma
C) Cushing's syndrome
D) Parathyroid adenoma
Answer: B
Explanation: ...

TOPIC: Endocrine neoplasia & hereditary syndromes
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum free cortisol is elevated.
Question: What is the most likely cause of his elevated serum free cortisol?
A) Adrenal adenoma
B) Pheochromocytoma
C) Cushing's syndrome
D) Parathyroid adenoma
Answer: B
Explanation: ...

TOPIC: Endocrine neoplasia & hereditary syndromes
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum free cortisol is elevated.
Question: What is the most likely cause of his elevated serum free cortisol?
A) Adrenal adenoma
B) Pheochromocytoma
C) Cushing's syndrome
D) Parathyroid adenoma
Answer: B
Explanation: ...

TOPIC: Endocrine neoplasia & hereditary syndromes
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum free cortisol is elevated.
Question: What is the most likely cause of his elevated serum free cortisol?
A) Adrenal adenoma
B) Pheochromocytoma
C) Cushing's syndrome
D) Parathyroid adenoma
Answer: B
Explanation: ...

TOPIC: Endocrine neoplasia & hereditary syndromes
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum free cortisol is elevated.
Question: What is the most likely cause of his elevated serum free cortisol?
A) Adrenal adenoma
B) Pheochromocytoma
C) Cushing's syndrome
D) Parathyroid adenoma
Answer: B
Explanation: ...

TOPIC: Endocrine neoplasia & hereditary syndromes
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum free cortisol is elevated.
Question: What is the most likely cause of his elevated serum free cortisol?
A) Adrenal adenoma
B) Pheochromocytoma
C) Cushing's syndrome
D) Parathyroid adenoma
Answer: B
Explanation: ...

TOPIC: Endocrine neoplasia & hereditary syndromes
Now write ONE NEW MCQ for this topic.

model
A 55-year-old man presents with polyuria and polydipsia. His serum free cortisol is elevated.
Question: What is the most likely cause of his elevated serum free cortisol"
HAJERI/gemma-3-1b-endocrinology-scenario-mcq-it-fp16-gguf,Pediatric endocrinology & growth/puberty,"A 55-year-old man presents with polyuria and polydipsia. His serum sodium is 125 mEq/L, and his urine osmolality is 100 mOsm/kg.
What is the most likely diagnosis?",Hyponatremia,Hypernatremia,Nephrogenic diabetes insipidus,Nephrogenic diabetes mellitus,B,"The elevated serum sodium and urine osmolality are consistent with nephrogenic diabetes insipidus.
interpretation
The text states, 'In nephrogenic diabetes insipidus, the kidneys are unable to concentrate urine, leading to polyuria and polydipsia.' This patient's elevated serum sodium and urine osmolality are consistent with nephrogenic diabetes insipidus.

etiology
The text also mentions, 'In nephrogenic diabetes insipidus, the kidneys are unable to concentrate urine, leading to polyuria and polydipsia.' This patient's elevated serum sodium and urine osmolality are consistent with nephrogenic diabetes insipidus.

clinical manifestations
The text also mentions, 'In nephrogenic diabetes insipidus, the kidneys are unable to concentrate urine, leading to polyuria and polydipsia.' This patient's elevated serum sodium and urine osmolality are consistent with nephrogenic diabetes insipidus.

diagnosis
The diagnosis is nephrogenic diabetes insipidus.

differential diagnosis
Differential diagnosis includes diabetes insipidus, central diabetes insipidus, and nephrogenic diabetes mellitus."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-fp16-gguf,Diabetes mellitus & hypoglycemia,"You are evaluating a patient with suspected diabetes.
What is the most sensitive test for diagnosing diabetes?
Options:",Fasting plasma glucose,Oral glucose tolerance test,Random plasma glucose,Hemoglobin A1C,D,"A: - Incorrect: Fasting plasma glucose is less sensitive than A1C for diagnosing diabetes.
B: - Incorrect: Oral glucose tolerance test is less sensitive than A1C for diagnosing diabetes.
C: - Incorrect: Random plasma glucose is less sensitive than A1C for diagnosing diabetes.
D: - Correct: Hemoglobin A1C is the most sensitive test for diagnosing diabetes."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-fp16-gguf,Thyroid disorders,"You are evaluating a patient with suspected thyroid dysfunction.
What is the most sensitive test for diagnosing hyperthyroidism?
Options:",Serum TSH,Serum free T4,Thyroid scintigraphy,Thyroid ultrasound,B,"A: - Incorrect: Serum TSH is suppressed in hyperthyroidism.
B: - Correct: Serum free T4 is the most sensitive test for diagnosing hyperthyroidism.
C: - Incorrect: Thyroid scintigraphy is used to confirm hyperthyroidism but is not the most sensitive initial test.
D: - Incorrect: Thyroid ultrasound is used to evaluate thyroid nodules, not to diagnose hyperthyroidism."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-fp16-gguf,Adrenal disorders,"You are evaluating a patient with suspected adrenal insufficiency.
What is the most appropriate initial laboratory test?
Options:",Serum cortisol,ACTH,Plasma renin activity,Serum aldosterone,A,"A: - Correct: Serum cortisol is the most sensitive test for diagnosing adrenal insufficiency.
B: - Incorrect: ACTH is used to confirm adrenal insufficiency but is not the first test.
C: - Incorrect: Plasma renin activity is used to assess aldosterone production and is not the first test.
D: - Incorrect: Serum aldosterone is used to assess aldosterone production but is not the first test."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-fp16-gguf,Pituitary & hypothalamic disorders,"You are evaluating a patient with suspected central diabetes insipidus.
What is the most appropriate initial diagnostic test?
Options:",Water deprivation test,MRI of the brain,Serum sodium and osmolality,Urine osmolality,D,"A: - Incorrect: The water deprivation test is used to confirm the diagnosis of central diabetes insipidus, but it is not the first step.
B: - Incorrect: An MRI of the brain is used to identify the cause of central diabetes insipidus, but it is not the first step.
C: - Incorrect: Serum sodium and osmolality are used to assess for dehydration, but they do not help diagnose central diabetes insipidus.
D: - Correct: Urine osmolality is the most appropriate initial test to diagnose central diabetes insipidus."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-fp16-gguf,"Calcium, parathyroid & metabolic bone disease","You are evaluating a patient with osteoporosis.
What is the most common cause of osteoporosis in men?
Options:",Osteoporosis due to glucocorticoid use,Osteoporosis due to androgen deficiency,Osteoporosis due to vitamin D deficiency,Osteoporosis due to primary hyperparathyroidism,B,"A: - Incorrect: Glucocorticoid use is a common cause of osteoporosis in men, but androgen deficiency is more common overall.
B: - Correct: Osteoporosis due to androgen deficiency is the most common cause of osteoporosis in men.
C: - Incorrect: Vitamin D deficiency can cause osteoporosis, but it is less common than androgen deficiency.
D: - Incorrect: Primary hyperparathyroidism can cause osteoporosis, but it is less common than androgen deficiency."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-fp16-gguf,Female reproductive endocrinology,"You are a medical expert answering general endocrinology and clinical questions.
A 30-year-old woman presents with amenorrhea and galactorrhea. Her prolactin level is elevated. What is the most likely cause?
Options:",Prolactinoma,Pituitary adenoma,Hypothyroidism,Pregnancy,A,"A: - Prolactinoma is the most common cause of hyperprolactinemia and is associated with amenorrhea and galactorrhea.
B: - Pituitary adenoma can cause hyperprolactinemia, but prolactinomas are more common.
C: - Hypothyroidism can cause amenorrhea, but it does not typically cause galactorrhea or elevated prolactin levels.
D: - Pregnancy can cause elevated prolactin levels, but it does not typically cause amenorrhea or galactorrhea."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-fp16-gguf,Male reproductive endocrinology,"You are evaluating a 55-year-old man with a history of prostate cancer treated with androgen deprivation therapy. He is experiencing fatigue, decreased libido, and erectile dysfunction.
What is the most appropriate initial laboratory test to assess his testosterone levels?
Options:",Total testosterone,Free testosterone,Sex hormone-binding globulin (SHBG),Dehydroepiandrosterone sulfate (DHEA-S),A,"A: - Total testosterone is the most reliable test for assessing androgen levels in men.
B: - Free testosterone is often used to assess testosterone levels in men, but total testosterone is preferred as it is more sensitive to changes in androgen status.
C: - SHBG levels can be used to assess androgen levels, but total testosterone is preferred as it is more sensitive to changes in androgen status.
D: - DHEA-S is a precursor to testosterone and is not used to assess testosterone levels in men."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-fp16-gguf,"Obesity, lipids & nutrition","You are a medical expert answering general endocrinology and clinical questions.
A 45-year-old woman presents with fatigue, constipation, and dry skin. Her TSH is elevated, and her free T4 is low.
What is the most likely diagnosis?
Options:",Hashimoto's thyroiditis,Graves' disease,Thyroiditis,Hypothyroidism,D,"A: - Incorrect: Hashimoto's thyroiditis typically presents with elevated TSH and low free T4, but it can also cause symptoms of hypothyroidism.
B: - Incorrect: Graves' disease typically presents with elevated TSH and low free T4, but it can also cause symptoms of hyperthyroidism.
C: - Incorrect: Thyroiditis can cause symptoms of hypothyroidism, but it typically presents with elevated TSH and low free T4.
D: - Correct: Hypothyroidism presents with symptoms such as fatigue, constipation, and dry skin, and is characterized by elevated TSH and low free T4."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-fp16-gguf,Endocrine neoplasia & hereditary syndromes,"You are evaluating a patient with a large, nonfunctioning pituitary macroadenoma.
What is the most common cause of hypopituitarism in patients with a pituitary macroadenoma?
Options:",Pituitary apoplexy,Pituitary stalk compression,Hypothalamic-pituitary axis destruction,Pituitary stalk thickening,C,"A: - Incorrect: Pituitary apoplexy is a rare complication of pituitary adenoma, not the most common cause of hypopituitarism.
B: - Incorrect: Pituitary stalk compression can cause hypopituitarism, but hypothalamic-pituitary axis destruction is more common.
C: - Correct: Hypothalamic-pituitary axis destruction is the most common cause of hypopituitarism in patients with a pituitary macroadenoma.
D: - Incorrect: Pituitary stalk thickening can be a sign of stalk compression or other pituitary disorders, but it is not the primary cause of hypopituitarism in this context."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-fp16-gguf,Pediatric endocrinology & growth/puberty,"You are a medical expert answering general endocrinology and clinical questions.
A 12-year-old boy presents with delayed puberty. His height is at the 5th percentile, and his bone age is delayed by 2 years. His testosterone levels are low, and his LH and FSH levels are also low.
What is the most likely diagnosis?
Options:",Klinefelter syndrome,Kallmann syndrome,Constitutional delay in growth and adolescence,Hypogonadotropic hypogonadism,D,"A: - Incorrect: Klinefelter syndrome typically presents with tall stature and elevated testosterone levels, not delayed puberty and low gonadotropins.
B: - Incorrect: Kallmann syndrome typically presents with delayed puberty, anosmia, and low gonadotropins, but the bone age delay is not characteristic.
C: - Incorrect: Constitutional delay in growth and adolescence typically presents with normal bone age and delayed puberty, not delayed bone age and low gonadotropins.
D: - Correct: Hypogonadotropic hypogonadism is characterized by low gonadotropins and low testosterone levels, which are seen in this patient."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-Q4_K_M-gguf,Diabetes mellitus & hypoglycemia,"A 40-year-old woman with type 1 diabetes presents with confusion and a blood glucose level of 50 mg/dL. She is sweating and has a fruity breath odor.
What is the most appropriate treatment?
Options:",Administer oral glucose,Give an injection of glucagon,Administer insulin,Start an IV dextrose solution,B,"A: - Incorrect: Oral glucose is not effective in treating hypoglycemia in patients with type 1 diabetes.
B: - Correct: Glucagon is the treatment of choice for severe hypoglycemia in patients with type 1 diabetes.
C: - Incorrect: Insulin is used to treat hyperglycemia, not hypoglycemia.
D: - Incorrect: IV dextrose is used for severe hypoglycemia, but glucagon is preferred in this situation."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-Q4_K_M-gguf,Thyroid disorders,"A 30-year-old woman presents with fatigue, weight gain, and cold intolerance. Her TSH is elevated, and her free T4 is low.
What is the most likely diagnosis?
Options:",Graves' disease,Hashimoto's thyroiditis,Thyroid cancer,Hypothyroidism,D,"A: - Incorrect: Graves' disease typically presents with hyperthyroidism, not hypothyroidism.
B: - Incorrect: Hashimoto's thyroiditis can cause both hyperthyroidism and hypothyroidism, but this patient's elevated TSH and low free T4 are more consistent with hypothyroidism.
C: - Incorrect: Thyroid cancer typically presents with a palpable nodule, not with symptoms of hypothyroidism.
D: - Correct: Hypothyroidism is characterized by elevated TSH and low free T4, which are seen in this patient."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-Q4_K_M-gguf,Adrenal disorders,"A 40-year-old woman presents with fatigue, weight loss, and hyperpigmentation. Her ACTH level is elevated, and her cortisol levels are low.
What is the most likely diagnosis?
Options:",Addison's disease,Cushing's syndrome,Primary hyperaldosteronism,Pheochromocytoma,A,"A: - Correct: Addison's disease is characterized by adrenal insufficiency, leading to low cortisol levels and elevated ACTH, which can cause hyperpigmentation.
B: - Incorrect: Cushing's syndrome is caused by excess cortisol, which would not cause hyperpigmentation or low ACTH levels.
C: - Incorrect: Primary hyperaldosteronism causes hypertension and hypokalemia, but it does not cause hyperpigmentation or low cortisol levels.
D: - Incorrect: Pheochromocytoma causes episodic hypertension and sweating, but it does not cause hyperpigmentation or low cortisol levels."
